anio,antonio nariño,barrios unidos,bosa,chapinero,ciudad bolívar,engativá,fontibón,kennedy,la candelaria,puente aranda,rafael uribe uribe,san cristóbal,santa fe,suba,sumapaz,teusaquillo,tunjuelito,usaquén,usme
2015,54,104,3059,251,1719,393,479,863,67,844,709,1569,239,1462,1,166,363,137,1456
2016,67,60,912,97,584,316,158,593,30,756,308,1000,431,1394,0,123,411,312,1043
2017,82,79,264,83,519,239,147,394,55,364,266,315,410,439,0,194,365,186,341
2018,117,104,224,138,286,283,138,358,102,183,242,198,849,361,0,138,150,189,155
2019,236,96,772,236,771,476,434,976,236,330,517,270,489,676,0,218,524,400,625
2020,138,107,456,200,444,317,324,534,228,506,342,208,381,414,0,158,469,285,398
2021,112,292,690,411,574,954,715,867,116,619,241,410,671,1100,1,535,330,516,403
2022,139,290,781,187,450,725,753,903,277,791,319,533,875,760,1,324,239,375,271
2023,111,302,709,339,526,860,426,858,306,469,293,332,740,856,1,356,207,325,345
2024,182,212,903,429,838,1107,490,1185,293,463,374,399,611,976,1,412,258,467,569
